	x	y	frame	particle
2	1253.88	902.92	84	54
3	656.1269841269841	771.3492063492064	84	13
4	387.8333333333333	374.9166666666667	84	31
5	394.0	365.5	84	33
6	1417.857142857143	343.2857142857143	84	57
7	769.2	90.2	84	51
7	776.7777777777778	67.22222222222223	85	49
6	751.2857142857143	87.28571428571429	85	37
4	394.5	364.5	85	33
5	1418.2857142857142	342.14285714285717	85	57
2	657.0819672131148	772.5245901639345	85	13
1	1254.5384615384614	903.1153846153846	85	54
0	835.4117647058823	913.3529411764706	85	38
3	387.3333333333333	374.25	85	31
9	784.0	66.0	86	49
8	789.5	66.66666666666667	86	58
7	751.5	87.0	86	37
6	1418.2857142857142	342.14285714285717	86	57
5	394.0	364.5	86	33
10	776.3333333333334	66.77777777777777	86	51
3	653.0	761.7142857142857	86	34
2	659.0	775.734693877551	86	13
1	1254.84	902.88	86	54
0	835.2352941176471	912.9411764705883	86	38
4	387.2857142857143	373.7857142857143	86	31
10	776.3333333333334	66.77777777777777	87	51
9	782.0	66.0	87	49
8	793.0	69.0	87	58
7	751.7142857142857	86.71428571428571	87	37
6	764.0	86.0	87	59
4	393.6	365.2	87	33
3	387.1818181818182	374.45454545454544	87	31
2	659.26	775.54	87	13
1	1255.0	903.3913043478261	87	54
0	834.5	913.5714285714286	87	38
5	1418.75	342.75	87	57
7	776.2857142857143	67.28571428571429	88	51
6	751.0	87.5	88	37
5	1419.25	343.0	88	57
4	394.0	365.0	88	33
2	659.7755102040817	776.6122448979592	88	13
1	1256.157894736842	905.7894736842105	88	54
0	834.5	914.1428571428571	88	38
3	387.6666666666667	374.6666666666667	88	31
0	834.2857142857143	914.5714285714286	89	38
1	1256.1904761904761	906.6190476190476	89	54
2	660.2619047619048	777.5952380952381	89	13
3	1583.7142857142858	722.4285714285714	89	46
4	388.5	376.0	89	31
5	395.0	366.0	89	33
6	1419.7142857142858	343.14285714285717	89	57
7	750.7142857142857	87.71428571428571	89	37
8	775.4	67.8	89	51
8	751.0	88.5	90	37
7	396.0	367.0	90	33
6	389.4	377.0	90	31
5	1583.5	723.5	90	46
0	834.0909090909091	915.2727272727273	90	38
3	670.0909090909091	790.3636363636364	90	13
2	1246.5	903.0	90	55
1	1256.3809523809523	907.1428571428571	90	54
4	660.6190476190476	778.3571428571429	90	34
6	1420.5	343.5	91	57
9	595.2857142857143	84.71428571428571	91	24
8	768.2	92.2	91	59
7	777.0	297.0	91	36
5	390.2	378.6	91	31
0	834.0	915.5	91	38
3	663.6037735849056	782.2264150943396	91	34
2	1246.5	903.0	91	55
1	1257.157894736842	909.0526315789474	91	54
4	1583.2	724.0	91	46
11	594.75	84.5	92	24
10	749.0	91.0	92	37
9	766.7272727272727	92.18181818181819	92	59
8	777.0	297.0	92	36
7	396.0	365.0	92	33
6	390.14285714285717	378.7142857142857	92	31
4	661.9166666666666	780.1944444444445	92	34
3	671.0	791.1428571428571	92	13
2	1247.0	903.0	92	55
1	1257.2222222222222	909.4444444444445	92	54
0	833.8571428571429	916.0	92	38
5	1583.5	725.0	92	46
7	396.0	365.0	93	33
12	594.5714285714286	85.28571428571429	93	24
11	761.0	90.75	93	59
9	766.0	92.1	93	51
8	541.5	236.375	93	60
6	390.0	378.5	93	31
10	748.0	91.0	93	37
4	662.1428571428571	780.0	93	34
3	671.4166666666666	791.3333333333334	93	13
2	1258.0588235294117	909.6470588235294	93	54
5	1583.0	725.0	93	46
1	834.1666666666666	913.5	93	56
0	832.0	918.5	93	38
8	594.4	84.2	94	24
7	749.6666666666666	88.66666666666667	94	59
6	746.6666666666666	89.66666666666667	94	37
5	542.5	237.4	94	60
3	1583.6666666666667	725.3333333333334	94	46
2	665.5535714285714	783.8214285714286	94	34
1	1258.25	909.875	94	54
0	834.2222222222222	912.7777777777778	94	56
4	1420.6666666666667	343.3333333333333	94	57
7	747.0	88.5	95	37
10	774.5	67.0	95	49
9	789.0	67.5	95	58
8	593.8	82.8	95	24
6	749.5	88.5	95	59
0	834.3333333333334	912.0	95	56
4	1584.0	726.0	95	46
3	666.6101694915254	784.2881355932203	95	34
2	1254.0	899.5	95	43
1	1258.8	909.5333333333333	95	54
5	1421.0	343.0	95	57
7	760.0	85.375	96	51
9	774.0	66.85714285714286	96	49
8	593.5	82.0	96	24
10	785.0	65.83333333333333	96	58
6	746.5	87.83333333333333	96	37
2	1253.5	899.25	96	43
4	1583.6666666666667	725.3333333333334	96	46
3	667.3965517241379	783.9310344827586	96	34
1	1259.5333333333333	909.0666666666667	96	54
0	834.2222222222222	911.2222222222222	96	56
5	388.0	374.5	96	31
9	779.5	65.72727272727273	97	58
8	593.0	80.0	97	24
7	756.2608695652174	84.17391304347827	97	51
6	747.0	87.0	97	37
5	387.0	374.3	97	31
4	1584.0	725.25	97	46
3	669.031746031746	784.6349206349206	97	34
2	1253.6	898.7	97	43
1	1260.6470588235295	909.1176470588235	97	54
0	834.7142857142857	910.8571428571429	97	56
10	779.0	65.5909090909091	98	58
8	756.0714285714286	83.82142857142857	98	51
7	745.2727272727273	86.18181818181819	98	37
6	387.4	373.8	98	31
5	1586.8	686.4	98	61
9	592.5	79.5	98	24
3	669.5087719298245	784.7543859649123	98	34
2	1253.7142857142858	898.0	98	43
1	1262.5333333333333	909.9333333333333	98	54
0	834.3333333333334	910.7777777777778	98	56
4	1583.2857142857142	725.5714285714286	98	46
9	779.5	65.33333333333333	99	58
7	752.7560975609756	84.26829268292683	99	51
6	387.2857142857143	373.85714285714283	99	31
5	1586.75	685.5	99	61
8	593.0	79.5	99	24
3	670.5	785.3448275862069	99	34
2	1253.7142857142858	898.0	99	43
1	1262.6666666666667	909.8	99	54
0	833.7272727272727	910.1818181818181	99	56
4	1583.2	725.2	99	46
8	777.96	66.04	100	58
7	592.0	79.0	100	24
6	751.4864864864865	84.75675675675676	100	51
5	388.0	374.0	100	31
3	671.2758620689655	785.5689655172414	100	34
2	1254.0526315789473	897.6842105263158	100	43
1	1263.4375	910.1875	100	54
0	833.5	910.1	100	56
4	1586.5	685.0	100	61
7	783.7619047619048	65.71428571428571	101	58
6	769.2631578947369	67.52631578947368	101	49
5	756.05	84.65	101	51
4	744.7692307692307	86.92307692307692	101	37
2	673.0344827586207	786.9310344827586	101	34
1	1253.842105263158	898.0526315789474	101	43
0	1264.2941176470588	910.5882352941177	101	54
3	1585.8	684.9	101	61
12	766.2	70.2	102	49
11	788.0	69.0	102	58
10	752.0	85.0	102	59
9	757.1538461538462	85.6923076923077	102	51
8	744.7692307692307	88.07692307692308	102	37
6	1585.7	684.9	102	61
7	545.0	239.0	102	60
4	1252.0	894.0	102	50
3	1261.0	896.0	102	43
2	1254.5	899.1875	102	55
1	1265.6666666666667	911.5833333333334	102	54
0	827.25	912.0	102	56
5	672.9827586206897	786.9827586206897	102	34
7	744.9285714285714	88.57142857142857	103	37
10	766.2	70.4	103	49
9	592.5	82.5	103	24
8	757.8888888888889	87.11111111111111	103	51
6	544.6666666666666	239.5	103	60
5	1585.25	685.0	103	61
4	674.6	789.36	103	34
3	1261.0	896.5	103	43
2	1254.5384615384614	899.3076923076923	103	55
1	1265.2666666666667	912.1333333333333	103	54
0	827.2	914.2	103	56
11	765.8	70.6	104	49
10	592.0	82.5	104	24
9	744.3076923076923	88.61538461538461	104	37
8	758.8	90.0	104	51
7	544.3684210526316	239.68421052631578	104	60
6	1585.5	685.0	104	61
5	673.3720930232558	789.3023255813954	104	13
4	685.3333333333334	798.6666666666666	104	34
3	1261.2	896.8	104	43
